År,Kön,Svarsalternativ,Procent,Antal svar
2012,Kvinna,Mycket bra förslag,28,429
2013,Kvinna,Mycket bra förslag,27,219
2014,Kvinna,Mycket bra förslag,23,204
2015,Kvinna,Mycket bra förslag,29,246
2017,Kvinna,Mycket bra förslag,34,319
2018,Kvinna,Mycket bra förslag,30,273
2019,Kvinna,Mycket bra förslag,28,229
2020,Kvinna,Mycket bra förslag,32,295
2021,Kvinna,Mycket bra förslag,32,264
2022,Kvinna,Mycket bra förslag,29,258
2023,Kvinna,Mycket bra förslag,35,317
2024,Kvinna,Mycket bra förslag,33,303
1996,Kvinna,Ganska bra förslag,33,297
1997,Kvinna,Ganska bra förslag,35,291
1998,Kvinna,Ganska bra förslag,29,509
1999,Kvinna,Ganska bra förslag,33,546
2000,Kvinna,Ganska bra förslag,29,489
2001,Kvinna,Ganska bra förslag,30,516
2002,Kvinna,Ganska bra förslag,29,519
2003,Kvinna,Ganska bra förslag,30,539
2004,Kvinna,Ganska bra förslag,29,501
2005,Kvinna,Ganska bra förslag,29,493
2006,Kvinna,Ganska bra förslag,29,226
2007,Kvinna,Ganska bra förslag,34,279
2008,Kvinna,Ganska bra förslag,28,231
2009,Kvinna,Ganska bra förslag,28,215
2010,Kvinna,Ganska bra förslag,24,199
2011,Kvinna,Ganska bra förslag,27,218
2012,Kvinna,Ganska bra förslag,26,400
2013,Kvinna,Ganska bra förslag,26,211
2014,Kvinna,Ganska bra förslag,24,213
2015,Kvinna,Ganska bra förslag,28,236
2017,Kvinna,Ganska bra förslag,28,255
2018,Kvinna,Ganska bra förslag,26,237
2019,Kvinna,Ganska bra förslag,25,200
2020,Kvinna,Ganska bra förslag,27,247
2021,Kvinna,Ganska bra förslag,28,234
2022,Kvinna,Ganska bra förslag,28,253
2023,Kvinna,Ganska bra förslag,27,252
2024,Kvinna,Ganska bra förslag,30,274
1996,Kvinna,Varken bra eller dåligt förslag,17,155
1997,Kvinna,Varken bra eller dåligt förslag,17,139
1998,Kvinna,Varken bra eller dåligt förslag,22,385
1999,Kvinna,Varken bra eller dåligt förslag,19,312
2000,Kvinna,Varken bra eller dåligt förslag,21,348
2001,Kvinna,Varken bra eller dåligt förslag,19,317
2002,Kvinna,Varken bra eller dåligt förslag,21,365
2003,Kvinna,Varken bra eller dåligt förslag,20,363
2004,Kvinna,Varken bra eller dåligt förslag,21,357
2005,Kvinna,Varken bra eller dåligt förslag,22,371
2006,Kvinna,Varken bra eller dåligt förslag,24,190
2007,Kvinna,Varken bra eller dåligt förslag,19,158
2008,Kvinna,Varken bra eller dåligt förslag,24,194
2009,Kvinna,Varken bra eller dåligt förslag,25,191
2010,Kvinna,Varken bra eller dåligt förslag,24,197
2011,Kvinna,Varken bra eller dåligt förslag,23,181
2012,Kvinna,Varken bra eller dåligt förslag,25,375
2013,Kvinna,Varken bra eller dåligt förslag,22,179
2014,Kvinna,Varken bra eller dåligt förslag,22,197
2015,Kvinna,Varken bra eller dåligt förslag,22,185
2017,Kvinna,Varken bra eller dåligt förslag,20,182
2018,Kvinna,Varken bra eller dåligt förslag,21,192
2019,Kvinna,Varken bra eller dåligt förslag,24,195
2020,Kvinna,Varken bra eller dåligt förslag,21,198
2021,Kvinna,Varken bra eller dåligt förslag,22,177
2022,Kvinna,Varken bra eller dåligt förslag,22,199
2023,Kvinna,Varken bra eller dåligt förslag,23,208
2024,Kvinna,Varken bra eller dåligt förslag,18,166
1996,Kvinna,Ganska dåligt förslag,7,64
1997,Kvinna,Ganska dåligt förslag,9,77
1998,Kvinna,Ganska dåligt förslag,12,213
1999,Kvinna,Ganska dåligt förslag,9,143
2000,Kvinna,Ganska dåligt förslag,12,196
2001,Kvinna,Ganska dåligt förslag,9,145
2002,Kvinna,Ganska dåligt förslag,8,149
2003,Kvinna,Ganska dåligt förslag,10,177
2004,Kvinna,Ganska dåligt förslag,13,225
2005,Kvinna,Ganska dåligt förslag,11,194
2006,Kvinna,Ganska dåligt förslag,14,108
2007,Kvinna,Ganska dåligt förslag,12,96
2008,Kvinna,Ganska dåligt förslag,15,121
2009,Kvinna,Ganska dåligt förslag,16,125
2010,Kvinna,Ganska dåligt förslag,16,136
2011,Kvinna,Ganska dåligt förslag,15,117
2012,Kvinna,Ganska dåligt förslag,12,187
2013,Kvinna,Ganska dåligt förslag,15,124
2014,Kvinna,Ganska dåligt förslag,15,131
2015,Kvinna,Ganska dåligt förslag,11,97
2017,Kvinna,Ganska dåligt förslag,11,98
2018,Kvinna,Ganska dåligt förslag,14,128
2019,Kvinna,Ganska dåligt förslag,14,111
2020,Kvinna,Ganska dåligt förslag,13,122
2021,Kvinna,Ganska dåligt förslag,11,94
2022,Kvinna,Ganska dåligt förslag,12,111
2023,Kvinna,Ganska dåligt förslag,10,92
2024,Kvinna,Ganska dåligt förslag,12,109
1996,Kvinna,Mycket dåligt förslag,6,49
1997,Kvinna,Mycket dåligt förslag,4,34
1998,Kvinna,Mycket dåligt förslag,8,132
1999,Kvinna,Mycket dåligt förslag,5,90
2000,Kvinna,Mycket dåligt förslag,6,94
2001,Kvinna,Mycket dåligt förslag,4,67
2002,Kvinna,Mycket dåligt förslag,5,85
2003,Kvinna,Mycket dåligt förslag,5,88
2004,Kvinna,Mycket dåligt förslag,6,96
2005,Kvinna,Mycket dåligt förslag,5,85
2006,Kvinna,Mycket dåligt förslag,8,65
2007,Kvinna,Mycket dåligt förslag,5,41
2008,Kvinna,Mycket dåligt förslag,7,53
2009,Kvinna,Mycket dåligt förslag,8,58
2010,Kvinna,Mycket dåligt förslag,12,98
2011,Kvinna,Mycket dåligt förslag,9,72
2012,Kvinna,Mycket dåligt förslag,8,126
2013,Kvinna,Mycket dåligt förslag,10,78
2014,Kvinna,Mycket dåligt förslag,17,148
2015,Kvinna,Mycket dåligt förslag,10,88
2017,Kvinna,Mycket dåligt förslag,8,74
2018,Kvinna,Mycket dåligt förslag,10,95
2019,Kvinna,Mycket dåligt förslag,10,78
2020,Kvinna,Mycket dåligt förslag,7,62
2021,Kvinna,Mycket dåligt förslag,7,55
2022,Kvinna,Mycket dåligt förslag,8,72
2023,Kvinna,Mycket dåligt förslag,5,50
2024,Kvinna,Mycket dåligt förslag,7,66
1996,Man,Bra förslag,50,400
1996,Man,Varken bra eller dåligt förslag,24,192
1996,Man,Dåligt förslag,27,214
1997,Man,Bra förslag,52,432
1997,Man,Varken bra eller dåligt förslag,24,197
1997,Man,Dåligt förslag,24,201
1998,Man,Dåligt förslag,35,605
1998,Man,Bra förslag,40,688
1998,Man,Varken bra eller dåligt förslag,24,414
1999,Man,Dåligt förslag,26,431
1999,Man,Varken bra eller dåligt förslag,24,395
1999,Man,Bra förslag,50,830
2000,Man,Bra förslag,44,721
2000,Man,Varken bra eller dåligt förslag,25,407
2000,Man,Dåligt förslag,32,529
2001,Man,Varken bra eller dåligt förslag,22,372
2001,Man,Bra förslag,49,832
2001,Man,Dåligt förslag,30,508
2002,Man,Dåligt förslag,30,497
2002,Man,Varken bra eller dåligt förslag,24,385
2002,Man,Bra förslag,46,750
2003,Man,Dåligt förslag,31,528
2003,Man,Bra förslag,44,746
2003,Man,Varken bra eller dåligt förslag,25,423
2004,Man,Dåligt förslag,35,584
2004,Man,Bra förslag,42,706
2004,Man,Varken bra eller dåligt förslag,23,384
2005,Man,Dåligt förslag,33,533
2005,Man,Bra förslag,41,656
2005,Man,Varken bra eller dåligt förslag,26,420
2006,Man,Varken bra eller dåligt förslag,24,181
2006,Man,Bra förslag,35,257
2006,Man,Dåligt förslag,41,304
2007,Man,Bra förslag,42,321
2007,Man,Varken bra eller dåligt förslag,22,166
2007,Man,Dåligt förslag,36,272
2008,Man,Dåligt förslag,39,287
2008,Man,Varken bra eller dåligt förslag,23,168
2008,Man,Bra förslag,38,276
2009,Man,Dåligt förslag,40,301
2009,Man,Bra förslag,34,250
2009,Man,Varken bra eller dåligt förslag,26,193
2010,Man,Varken bra eller dåligt förslag,23,172
2010,Man,Bra förslag,28,207
2010,Man,Dåligt förslag,49,371
2011,Man,Varken bra eller dåligt förslag,25,180
2011,Man,Bra förslag,35,253
2011,Man,Dåligt förslag,39,281
2012,Man,Varken bra eller dåligt förslag,25,360
2012,Man,Bra förslag,34,490
2012,Man,Dåligt förslag,41,595
2013,Man,Varken bra eller dåligt förslag,22,158
2013,Man,Bra förslag,38,274
2013,Man,Dåligt förslag,41,298
2014,Man,Bra förslag,31,248
2014,Man,Dåligt förslag,48,379
2014,Man,Varken bra eller dåligt förslag,20,161
2015,Man,Dåligt förslag,40,298
2015,Man,Bra förslag,41,302
2015,Man,Varken bra eller dåligt förslag,19,140
2017,Man,Dåligt förslag,36,299
2017,Man,Bra förslag,41,348
2017,Man,Varken bra eller dåligt förslag,23,195
2018,Man,Bra förslag,38,327
2018,Man,Varken bra eller dåligt förslag,20,173
2018,Man,Dåligt förslag,41,350
2019,Man,Varken bra eller dåligt förslag,22,162
2019,Man,Bra förslag,38,280
2019,Man,Dåligt förslag,41,301
2020,Man,Varken bra eller dåligt förslag,22,187
2020,Man,Bra förslag,43,363
2020,Man,Dåligt förslag,35,290
2021,Man,Bra förslag,42,306
2021,Man,Varken bra eller dåligt förslag,23,166
2021,Man,Dåligt förslag,35,251
2022,Man,Dåligt förslag,35,296
2022,Man,Bra förslag,43,365
2022,Man,Varken bra eller dåligt förslag,22,191
2023,Man,Dåligt förslag,29,227
2023,Man,Bra förslag,46,359
2023,Man,Varken bra eller dåligt förslag,25,200
2024,Man,Bra förslag,42,354
2024,Man,Varken bra eller dåligt förslag,22,187
2024,Man,Dåligt förslag,36,298
1996,Man,Mycket bra förslag,25,200
1997,Man,Mycket bra förslag,25,205
1998,Man,Mycket bra förslag,16,273
1999,Man,Mycket bra förslag,21,347
2000,Man,Mycket bra förslag,20,330
2001,Man,Mycket bra förslag,23,390
2002,Man,Mycket bra förslag,21,339
2003,Man,Mycket bra förslag,21,359
2004,Man,Mycket bra förslag,19,309
2005,Man,Mycket bra förslag,18,292
2006,Man,Mycket bra förslag,16,118
2007,Man,Mycket bra förslag,18,138
2008,Man,Mycket bra förslag,17,125
2009,Man,Mycket bra förslag,14,107
2010,Man,Mycket bra förslag,12,88
2011,Man,Mycket bra förslag,16,113
2012,Man,Mycket bra förslag,15,220
2013,Man,Mycket bra förslag,16,120
2014,Man,Mycket bra förslag,13,105
2015,Man,Mycket bra förslag,20,145
2017,Man,Mycket bra förslag,19,163
2018,Man,Mycket bra förslag,18,149
2019,Man,Mycket bra förslag,18,135
2020,Man,Mycket bra förslag,19,162
2021,Man,Mycket bra förslag,20,147
2022,Man,Mycket bra förslag,20,169
2023,Man,Mycket bra förslag,22,173
2024,Man,Mycket bra förslag,20,165
1996,Man,Ganska bra förslag,25,200
1997,Man,Ganska bra förslag,27,227
1998,Man,Ganska bra förslag,24,415
1999,Man,Ganska bra förslag,29,483
2000,Man,Ganska bra förslag,24,391
2001,Man,Ganska bra förslag,26,442
2002,Man,Ganska bra förslag,25,411
2003,Man,Ganska bra förslag,23,387
2004,Man,Ganska bra förslag,24,397
2005,Man,Ganska bra förslag,23,364
2006,Man,Ganska bra förslag,19,139
2007,Man,Ganska bra förslag,24,183
2008,Man,Ganska bra förslag,21,151
2009,Man,Ganska bra förslag,19,143
2010,Man,Ganska bra förslag,16,119
2011,Man,Ganska bra förslag,20,140
2012,Man,Ganska bra förslag,19,270
2013,Man,Ganska bra förslag,21,154
2014,Man,Ganska bra förslag,18,143
2015,Man,Ganska bra förslag,21,157
2017,Man,Ganska bra förslag,22,185
2018,Man,Ganska bra förslag,21,178
2019,Man,Ganska bra förslag,20,145
2020,Man,Ganska bra förslag,24,201
2021,Man,Ganska bra förslag,22,159
2022,Man,Ganska bra förslag,23,196
2023,Man,Ganska bra förslag,24,186
2024,Man,Ganska bra förslag,23,189
1996,Man,Varken bra eller dåligt förslag,24,192
1997,Man,Varken bra eller dåligt förslag,24,197
1998,Man,Varken bra eller dåligt förslag,24,414
1999,Man,Varken bra eller dåligt förslag,24,395
2000,Man,Varken bra eller dåligt förslag,25,407
2001,Man,Varken bra eller dåligt förslag,22,372
2002,Man,Varken bra eller dåligt förslag,24,385
2003,Man,Varken bra eller dåligt förslag,25,423
2004,Man,Varken bra eller dåligt förslag,23,384
2005,Man,Varken bra eller dåligt förslag,26,420
2006,Man,Varken bra eller dåligt förslag,24,181
2007,Man,Varken bra eller dåligt förslag,22,166
2008,Man,Varken bra eller dåligt förslag,23,168
2009,Man,Varken bra eller dåligt förslag,26,193
2010,Man,Varken bra eller dåligt förslag,23,172
2011,Man,Varken bra eller dåligt förslag,25,180
2012,Man,Varken bra eller dåligt förslag,25,360
2013,Man,Varken bra eller dåligt förslag,22,158
2014,Man,Varken bra eller dåligt förslag,20,161
2015,Man,Varken bra eller dåligt förslag,19,140
2017,Man,Varken bra eller dåligt förslag,23,195
2018,Man,Varken bra eller dåligt förslag,20,173
2019,Man,Varken bra eller dåligt förslag,22,162
2020,Man,Varken bra eller dåligt förslag,22,187
2021,Man,Varken bra eller dåligt förslag,23,166
2022,Man,Varken bra eller dåligt förslag,22,191
2023,Man,Varken bra eller dåligt förslag,25,200
2024,Man,Varken bra eller dåligt förslag,22,187
1996,Man,Ganska dåligt förslag,13,107
1997,Man,Ganska dåligt förslag,13,104
1998,Man,Ganska dåligt förslag,18,299
1999,Man,Ganska dåligt förslag,14,237
2000,Man,Ganska dåligt förslag,19,309
2001,Man,Ganska dåligt förslag,18,302
2002,Man,Ganska dåligt förslag,18,287
2003,Man,Ganska dåligt förslag,18,297
2004,Man,Ganska dåligt förslag,19,322
2005,Man,Ganska dåligt förslag,19,311
2006,Man,Ganska dåligt förslag,22,165
2007,Man,Ganska dåligt förslag,22,165
2008,Man,Ganska dåligt förslag,19,139
2009,Man,Ganska dåligt förslag,23,173
2010,Man,Ganska dåligt förslag,24,178
2011,Man,Ganska dåligt förslag,21,149
2012,Man,Ganska dåligt förslag,20,294
2013,Man,Ganska dåligt förslag,22,159
2014,Man,Ganska dåligt förslag,21,163
2015,Man,Ganska dåligt förslag,20,149
2017,Man,Ganska dåligt förslag,16,132
2018,Man,Ganska dåligt förslag,21,176
2019,Man,Ganska dåligt förslag,19,144
2020,Man,Ganska dåligt förslag,18,154
2021,Man,Ganska dåligt förslag,18,129
2022,Man,Ganska dåligt förslag,17,148
2023,Man,Ganska dåligt förslag,16,122
2024,Man,Ganska dåligt förslag,17,146
1996,Man,Mycket dåligt förslag,13,107
1997,Man,Mycket dåligt förslag,12,97
1998,Man,Mycket dåligt förslag,18,306
1999,Man,Mycket dåligt förslag,12,194
2000,Man,Mycket dåligt förslag,13,220
2001,Man,Mycket dåligt förslag,12,206
2002,Man,Mycket dåligt förslag,13,210
2003,Man,Mycket dåligt förslag,14,231
2004,Man,Mycket dåligt förslag,16,262
2005,Man,Mycket dåligt förslag,14,222
2006,Man,Mycket dåligt förslag,19,139
2007,Man,Mycket dåligt förslag,14,107
2008,Man,Mycket dåligt förslag,20,148
2009,Man,Mycket dåligt förslag,17,128
2010,Man,Mycket dåligt förslag,26,193
2011,Man,Mycket dåligt förslag,19,132
2012,Man,Mycket dåligt förslag,21,301
2013,Man,Mycket dåligt förslag,19,139
2014,Man,Mycket dåligt förslag,27,216
2015,Man,Mycket dåligt förslag,20,149
2017,Man,Mycket dåligt förslag,20,167
2018,Man,Mycket dåligt förslag,21,174
2019,Man,Mycket dåligt förslag,21,157
2020,Man,Mycket dåligt förslag,16,136
2021,Man,Mycket dåligt förslag,17,122
2022,Man,Mycket dåligt förslag,17,148
2023,Man,Mycket dåligt förslag,13,105
2024,Man,Mycket dåligt förslag,18,152
